name,lat,lon,amenity,osm_type,osm_id,source
Tempat Sampah (Rangka 3) Tidak Difungsikan,-7.6877575,110.4120139,recycling,node,6934455320,"overpass:Ngaglik, Sleman"
Tempat Sampah Triple,-7.6882267,110.4115549,recycling,node,6934455327,"overpass:Ngaglik, Sleman"
TPS Tanpa Nama,-7.7197192,110.3637671,unknown,way,517891485,"overpass:Ngaglik, Sleman"
Onderdil Mobil Bekas Sekarsuli,-7.8219587,110.4229992,recycling,node,3638462526,overpass:DIY Yogyakarta
Rumah Berhantu,-7.7485321,110.4504255,waste_disposal,node,4375568490,overpass:DIY Yogyakarta
TPS Sampah,-7.8111955,110.3454804,waste_disposal,node,4707067555,overpass:DIY Yogyakarta
bu Daryanti ketua Bank Sampah,-7.562612,110.8275649,unknown,node,6129947099,overpass:DIY Yogyakarta
Bank Sampah Mugi Rejeki,-7.5637434,110.827125,recycling,node,6130031292,overpass:DIY Yogyakarta
Tempat Sampah (Rangka 3) Tidak Difungsikan,-7.6877575,110.4120139,recycling,node,6934455320,overpass:DIY Yogyakarta
Tempat Sampah Triple,-7.6882267,110.4115549,recycling,node,6934455327,overpass:DIY Yogyakarta
Tempat Pembuangan Sampah,-7.6306434,110.4460085,unknown,way,261194713,overpass:DIY Yogyakarta
TPA Sampah Joho,-7.7201491,110.5110346,recycling,way,354223308,overpass:DIY Yogyakarta
pengepul barang bekas/ rongsok,-7.5656744,110.8255061,unknown,way,405070513,overpass:DIY Yogyakarta
Bank Sampah,-7.5300869,110.8222113,unknown,way,449056339,overpass:DIY Yogyakarta
TPA Piyungan,-7.8699284,110.4300062,unknown,way,483704705,overpass:DIY Yogyakarta
TPS Tanpa Nama,-7.7197192,110.3637671,unknown,way,517891485,overpass:DIY Yogyakarta
TPA Sampah Banyuroto,-7.8022293,110.1847145,unknown,way,530767278,overpass:DIY Yogyakarta
TPA Sampah Banyuroto,-7.8025908,110.1853548,unknown,way,530767438,overpass:DIY Yogyakarta
Pengepul Rongsokan,-7.584345,110.8375445,recycling,way,532664058,overpass:DIY Yogyakarta
TPS 3R Ben Resik,-7.6624136,110.3263686,unknown,way,533301937,overpass:DIY Yogyakarta
Pengepul Sampah,-7.9772533,110.3203577,unknown,way,612106952,overpass:DIY Yogyakarta
TPS Tanpa Nama,-7.7624698,110.371788,recycling,way,900432840,overpass:DIY Yogyakarta
TPS Argolubang,-7.7903063,110.3805321,unknown,way,933678446,overpass:DIY Yogyakarta
TPS Tanpa Nama,-7.7879582,110.3878878,waste_transfer_station,way,975216624,overpass:DIY Yogyakarta
Tanah Kosong,-7.6372702,110.6374024,unknown,way,1115104253,overpass:DIY Yogyakarta
